,0
0,universal
1,universal
2,suv
3,sedan
4,universal
5,universal
6,universal
7,sedan
8,universal
9,universal
10,suv
11,suv
12,suv
13,hatchback
14,universal
15,universal
16,universal
17,sedan
18,suv
19,suv
20,universal
21,suv
22,suv
23,universal
24,universal
25,suv
26,universal
27,universal
28,universal
29,sedan
30,universal
31,universal
32,universal
33,sedan
34,sedan
35,hatchback
36,universal
37,sedan
38,universal
39,suv
40,universal
41,universal
42,suv
43,nan
44,suv
45,suv
46,universal
47,sedan
48,sedan
49,universal
50,universal
51,hatchback
52,universal
53,universal
54,sedan
55,universal
56,suv
57,universal
58,universal
59,suv
60,sedan
61,universal
62,universal
63,universal
64,sedan
65,suv
66,hatchback
67,universal
68,universal
69,universal
70,universal
71,universal
72,sedan
73,suv
74,suv
75,universal
76,universal
77,suv
78,suv
79,suv
80,universal
81,universal
82,suv
83,universal
84,hatchback
85,suv
86,universal
87,universal
88,universal
89,universal
90,universal
91,suv
92,suv
93,sedan
94,universal
95,universal
96,suv
97,suv
98,universal
99,suv
100,sedan
101,hatchback
102,universal
103,minivan
104,universal
105,universal
106,universal
107,suv
108,universal
109,universal
110,sedan
111,universal
112,sedan
113,universal
114,sedan
115,sedan
116,hatchback
117,universal
118,suv
119,suv
120,universal
121,sedan
122,hatchback
123,universal
124,universal
125,universal
126,hatchback
127,universal
128,sedan
129,sedan
130,universal
131,universal
132,sedan
133,sedan
134,suv
135,hatchback
136,suv
137,sedan
138,universal
139,universal
140,suv
141,universal
142,sedan
143,suv
144,universal
145,sedan
146,universal
147,universal
148,suv
149,universal
150,universal
151,suv
152,sedan
153,suv
154,sedan
155,universal
156,universal
157,suv
158,universal
159,suv
160,suv
161,hatchback
162,suv
163,suv
164,universal
165,universal
166,hatchback
167,sedan
168,universal
169,universal
170,suv
171,suv
172,suv
173,sedan
174,universal
175,suv
176,hatchback
177,universal
178,universal
179,universal
180,sedan
181,universal
182,universal
183,sedan
184,universal
185,universal
186,universal
187,universal
188,universal
189,suv
190,universal
191,universal
192,sedan
193,universal
194,universal
195,sedan
196,universal
197,suv
198,sedan
199,suv
200,suv
201,nan
202,suv
203,universal
204,sedan
205,suv
206,sedan
207,universal
208,hatchback
209,universal
210,sedan
211,suv
212,suv
213,suv
214,suv
215,suv
216,sedan
217,sedan
218,sedan
219,sedan
220,universal
221,sedan
222,suv
223,universal
224,universal
225,sedan
226,universal
227,universal
228,universal
229,universal
230,universal
231,universal
232,universal
233,universal
234,suv
235,sedan
236,minivan
237,universal
238,sedan
239,universal
240,universal
241,suv
242,hatchback
243,universal
244,universal
245,universal
246,sedan
247,suv
248,suv
249,universal
250,sedan
251,suv
252,suv
253,hatchback
254,hatchback
255,sedan
256,sedan
257,universal
258,sedan
259,universal
260,sedan
261,suv
262,suv
263,suv
264,universal
265,sedan
266,universal
267,sedan
268,suv
269,universal
270,suv
271,suv
272,universal
273,universal
274,universal
275,universal
276,hatchback
277,universal
278,suv
279,universal
280,sedan
281,suv
282,sedan
283,suv
284,sedan
285,sedan
286,suv
287,sedan
288,universal
289,sedan
290,suv
291,sedan
292,universal
293,universal
294,universal
295,universal
296,universal
297,suv
298,universal
299,universal
300,universal
301,universal
302,hatchback
303,suv
304,suv
305,suv
306,sedan
307,hatchback
308,universal
309,universal
310,sedan
311,sedan
312,universal
313,universal
314,sedan
315,suv
316,sedan
317,universal
318,nan
319,sedan
320,sedan
321,sedan
322,nan
323,hatchback
324,suv
325,universal
326,sedan
327,hatchback
328,suv
329,sedan
330,sedan
331,hatchback
332,nan
333,universal
334,sedan
335,universal
336,universal
337,hatchback
338,sedan
339,hatchback
340,universal
