,0,1,2,3,4
0,Subaru,Outback,automatic,silver,190000
1,Subaru,Outback,automatic,blue,290000
2,Subaru,Forester,automatic,red,402000
3,Subaru,Impreza,mechanical,blue,10000
4,Subaru,Legacy,automatic,black,280000
5,Subaru,Outback,automatic,silver,132449
6,Subaru,Forester,automatic,black,318280
7,Subaru,Legacy,automatic,silver,350000
8,Subaru,Outback,automatic,grey,179000
9,Subaru,Forester,automatic,silver,571317
10,Subaru,Forester,mechanical,other,280000
11,Subaru,Tribeca,automatic,grey,256000
12,Subaru,Forester,mechanical,other,321000
13,Subaru,Justy,mechanical,red,49999
14,Subaru,Outback,automatic,brown,154685
15,Subaru,Outback,automatic,black,163219
16,Subaru,Outback,automatic,other,318650
17,Subaru,Impreza,mechanical,blue,191000
18,Subaru,Forester,automatic,silver,179000
19,Subaru,Forester,automatic,black,159000
20,Subaru,Outback,automatic,white,257495
21,Subaru,Tribeca,automatic,silver,241402
22,Subaru,Tribeca,automatic,black,188000
23,Subaru,Forester,automatic,blue,240000
24,Subaru,Legacy,automatic,green,249448
25,Subaru,Tribeca,automatic,other,250000
26,Subaru,Outback,automatic,green,417000
27,Subaru,Outback,automatic,violet,377000
28,Subaru,Impreza,mechanical,black,300000
29,Subaru,Legacy,mechanical,black,270000
30,Subaru,Forester,mechanical,green,444444
31,Subaru,Legacy,automatic,black,299000
32,Subaru,Impreza,mechanical,violet,340000
33,Subaru,Legacy,mechanical,black,123456
34,Subaru,Impreza,mechanical,silver,118000
35,Subaru,Impreza,automatic,black,246113
36,Subaru,Outback,automatic,green,128748
37,Subaru,Legacy,mechanical,red,100000
38,Subaru,Outback,automatic,blue,342790
39,Subaru,Forester,mechanical,silver,390000
40,Subaru,Forester,automatic,black,215000
41,Subaru,Outback,mechanical,grey,288500
42,Subaru,Tribeca,automatic,grey,225000
43,Subaru,Outback,automatic,green,310000
44,Subaru,Forester,automatic,white,121000
45,Subaru,Forester,automatic,blue,242000
46,Subaru,Outback,mechanical,green,286
47,Subaru,Legacy,automatic,grey,209000
48,Subaru,Legacy,mechanical,silver,195000
49,Subaru,Outback,automatic,black,126705
50,Subaru,Outback,automatic,other,164153
51,Subaru,Impreza,mechanical,blue,143000
52,Subaru,Outback,mechanical,white,463491
53,Subaru,Legacy,mechanical,green,321869
54,Subaru,Legacy,mechanical,other,250000
55,Subaru,Forester,mechanical,black,260000
56,Subaru,Forester,mechanical,green,300000
57,Subaru,Forester,automatic,red,358047
58,Subaru,Forester,mechanical,blue,296000
59,Subaru,XV,automatic,orange,183000
